Utterance,Speaker,Emotion,Strategy
My mother's death was the most traumatic event in my life so far.,Client,sadness,undefined
That mission was just another mission for Alex.,Client,depression,undefined
There is no comparison.,Client,depression,undefined
"Anyway, look, that's over. And i'm back now.",Client,neutral,undefined
I'm back at my home base and now I'm on R&R.,Client,neutral,undefined
What kind of things do you do for R&R?,Therapist,neutral,Open question
Don't try to get ahead of me.,Client,neutral,undefined
I'm a runner.,Client,neutral,undefined
I was a hell of a runner in high school,Client,neutral,undefined
and i'm still a pretty good one for an old man.,Client,neutral,undefined
So I run.,Client,neutral,undefined
"With my fairy friend, this gay guy who could kick your ass at any sport.",Client,joy,undefined
"And does he have a name, this friend?",Therapist,neutral,Open question
Daniel.,Client,neutral,undefined
Daniel.,Therapist,neutral,Restatement
"We've been running together for a long time,",Client,neutral,undefined
between six and 10 miles...,Client,neutral,undefined
Depending on whether one of us is on his period.,Client,neutral,undefined
Only this time i chalenged him a little.,Client,neutral,undefined
There's no real good running in the middle east.,Client,neutral,undefined
"Not for the US military, unless you want a roadside bomb to blow your balls off.",Client,neutral,undefined
So I wanted to do some serious running.,Client,neutral,undefined
"I said, let's go for 15.",Client,neutral,undefined
"Then after 15 miles, I said, 20.",Client,neutral,undefined
"Now he didn't want it, but I said, okay, i'll go on my own.",Client,neutral,undefined
So he followed.,Client,neutral,undefined
"I said, You know, only six more and it's a marathon. Let's do it.",Client,joy,undefined
He wanted to stop.,Client,joy,undefined
Little bitch.,Client,joy,undefined
But I wasn't gonna stop.,Client,depression,undefined
It was tough.,Client,depression,undefined
We were out of water--,Client,depression,undefined
We're on fumes.,Client,depression,undefined
"At 22 miles,",Client,fear,undefined
I had a heart attack and died.,Client,fear,undefined
A textbook case...,Client,fear,undefined
Straight outta med school...,Client,fear,undefined
Enlargement of the left ventricle.,Client,fear,undefined
"In accordance with the family history on both sides, fatal.",Client,fear,undefined
"According to the EKG and according to statistics,",Client,fear,undefined
"I had a 97.3% chance of dying,",Client,fear,undefined
or 2.7% chance of living.,Client,fear,undefined
"Anyway, dead.",Client,fear,undefined
You actually died?,Therapist,neutral,Restatement
"In the clinical sense. No pulse, no brain activity.",Client,fear,undefined
Total clinical death.,Client,fear,undefined
But here I am.,Client,depression,undefined
"And now i'm gonna disappoint you, doctor.",Client,depression,undefined
Don't you wanna know why i'm gonna disappoint you?,Client,neutral,undefined
"Let me help you out. The light, the tunnel,",Client,neutral,undefined
"the whole life-flashing-before-my-eyes,",Client,neutral,undefined
"That's what you're interested in, right?",Client,neutral,undefined
"No, I wasn't actually thinking of that at all.",Therapist,neutral,Communication Skills
"But I am interested. Please, tell me.",Therapist,neutral,Communication Skills
I couldn't give a shit about it either.,Client,depression,undefined
But that's all everyone wanted to know about.,Client,depression,undefined
"My father, my wife...",Client,disgust,undefined
Everyone. They just wanted to hear about the goddamn tunnel.,Client,disgust,undefined
Just-- Such bullshit.,Client,disgust,undefined
Do you feel that maybe you...,Therapist,neutral,Interpretation
disappointed people by not having that experience?,Therapist,neutral,Interpretation
That maybe...,Therapist,neutral,Interpretation
"in some way, you failed to deliver the goods?",Therapist,neutral,Interpretation
Nobody really knows,Client,neutral,undefined
Nobody really knows,Client,neutral,undefined
what was going through my mind during those last few moments.,Client,neutral,undefined
"Soon as there was no more tunnel, no one was interested.",Client,neutral,undefined
And what was going through your mind?,Therapist,neutral,Open question
"Oh, I knew what was happening. You can tell.",Client,fear,undefined
And you're afraid it's the end.,Client,fear,undefined
In all that time until I lost consciousness...,Client,fear,undefined
All that time...,Client,fear,undefined
"I don't know how long it was, Maybe seconds, maybe half a minute.",Client,fear,undefined
"All that time, I kept trying to figure out if I had a hard-on.",Client,fear,undefined
"See, I don't know how I remember this Something my grandmother told me",Client,neutral,undefined
when I was in high school.,Client,neutral,undefined
"And she said, when grandpa died,",Client,neutral,undefined
she found him lying naked in the bathtub,Client,neutral,undefined
with a huge erection.,Client,neutral,undefined
Now he was 92 years old.,Client,joy,undefined
She hadn't seen an erection like that in 20 years.,Client,joy,undefined
She liked it.,Client,joy,undefined
She said that was god's final gift to a man...,Client,joy,undefined
A dead man's boner.,Client,joy,undefined
They call it angel lust.,Client,joy,undefined
"Anyway, so i'm lying there and i'm thinking about that story.",Client,neutral,undefined
"I know what's happening to me and I said to myself,",Client,neutral,undefined
"God almighty, just...",Client,fear,undefined
"don't let me have an erection right now,",Client,fear,undefined
not a hard-O.,Client,fear,undefined
"Because if you had an erection, it would mean that...",Therapist,neutral,Restatement
That would mean that I was dead.,Client,fear,undefined
And your friend daniel was with you throughout this?,Therapist,neutral,Restatement
"Yeah, resuscitation, CPR...",Client,fear,undefined
"Daniel's a doctor, i forgot to say that.",Client,fear,undefined
"For a minute, I thought you were going to say something else, that perhaps",Therapist,neutral,Restatement
your fear of an erection was associated with the presence of...,Therapist,neutral,Restatement
"your friend, Daniel.",Therapist,neutral,Restatement
Excuse me?,Client,joy,undefined
Don't you think you're exaggerating? I explained something simple...,Client,joy,undefined
A dead man's erection. What's that gotta do with daniel?,Client,joy,undefined
Maybe I didn't make myself clear earlier on When I was talking about,Therapist,neutral,Interpretation
the customer always being wrong.,Therapist,neutral,Interpretation
What I meant was that sometimes,Therapist,neutral,Interpretation
the patient hides things from his therapist...,Therapist,neutral,Interpretation
From himself.,Therapist,neutral,Interpretation
And so part of our job is to uncover,Therapist,neutral,Structuring the therapy
the things that we hide.,Therapist,neutral,Structuring the therapy
So my secret is i'm afraid of homosexuals?,Client,joy,undefined
"No, not necessarily.",Therapist,neutral,Interpretation
But I just wand to clarify that.,Therapist,neutral,Interpretation
Okay. That's neither here nor there.,Client,joy,undefined
I wanna get to my point.,Client,joy,undefined
Go ahead.,Therapist,neutral,Communication Skills
I didn't have the erection so you can relax.,Client,joy,undefined
But I tell you I remember,Client,fear,undefined
very vividly that moment just before passing out...,Client,fear,undefined
Before losing consciousness.,Client,fear,undefined
Losing consciousns... That's a funny expression.,Client,disgust,undefined
Why do you think that's a funny expression?,Therapist,neutral,Open question
Losing consciousness... It's an expression my father would use...,Client,disgust,undefined
Everything in terms of profits and loss.,Client,disgust,undefined
Fits him like a glove.,Client,disgust,undefined
So something about,Therapist,neutral,Restatement
how you describe your last moments is equated with your father,Therapist,neutral,Restatement
seeing things in terms of profit and loss?,Therapist,neutral,Restatement
Is that...,Therapist,neutral,Restatement
"Okay, with all due respect,",Client,anger,undefined
I think we've come to this way too early.,Client,anger,undefined
"All this stuff about the father son relationship,",Client,anger,undefined
I don't think it should come up so soon.,Client,anger,undefined
You think it's too soon?,Therapist,neutral,Open question
"No, forget what I feel.",Client,anger,undefined
I know it's too soon.,Client,anger,undefined
I wanna know what you think.,Client,depression,undefined
So you're...,Therapist,neutral,Open question
You're testing me?,Therapist,neutral,Open question
I'm entitled to some testing.,Client,neutral,undefined
I'm paying for it.,Client,neutral,undefined
